,X,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,PriceRange,Reservations,Monday_mealtype,Tuesday_mealtype,Wednesday_mealtype,Thursday_mealtype,Friday_mealtype,Saturday_mealtype,Sunday_mealtype,Sentiment_mean,score,name1,similarity
0,8586,Golden China,10720 W Indian School Rd,Phoenix,AZ,85037,33.495416999999996,-112.29098,3.5,39,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""'quiet'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'HasTV': 'False', 'Alcohol': ""'none'"", 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'Caters': 'True'}",Chinese,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:30'}",1,0,11110,11110,11110,11110,11110,11110,11110,0.9028889040000001,0.9028889040000001,golden china,0.9562932128061999
1,7247,May Garden Restaurant,5814 W Indian School Rd,Phoenix,AZ,85031,33.4953983,-112.1851933,3.5,63,1,"{'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""'none'"", 'Caters': 'False', 'BikeParking': 'False', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False'}","Archery, Buffets, Active Life, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,0,11110,11110,11110,11110,11110,11110,11110,0.862544245,0.862544245,may garden restaurant,0.9702768274782687
2,9484,Little Dragon Chinese Restaurant,4327 W Thomas Rd,Phoenix,AZ,85031,33.480090399999995,-112.15312790000002,4.0,78,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'no'"", 'BikeParking': 'False', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'""}",Chinese,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-21:30'}",1,0,11110,11110,11110,11110,11110,11110,11100,0.8746648220000001,0.8746648220000001,little dragon chinese restaurant,0.9578102327671223
3,9074,Golden Coin,3224 E Thomas Rd,Phoenix,AZ,85018,33.4807982,-112.01165729999998,3.0,41,1,"{'HasTV': 'False', 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': True, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'False', 'WiFi': ""u'no'"", 'NoiseLevel': ""u'average'""}","Buffets, Chinese","{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-21:0'}",1,0,11111,11111,11111,11111,11111,11111,11111,0.795352363,0.795352363,golden coin,0.9654389002241835
4,451,Rice To You,5132 W McDowell Rd,Phoenix,AZ,85035,33.4664341,-112.1696754,3.5,37,1,"{'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'GoodForKids': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'quiet'"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'WheelchairAccessible': 'True'}",Chinese,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '11:0-21:0'}",1,0,11110,11110,11110,11110,11110,11100,11110,0.801845455,0.801845455,rice to you,0.9663226694654149
5,1670,Great Wok,"3646 E Ray Rd, Ste 12",Phoenix,AZ,85044,33.3165932,-112.003623,4.0,131,1,"{'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'HasTV': 'False', 'NoiseLevel': ""'quiet'"", 'Alcohol': ""'none'"", 'WiFi': ""'no'"", 'Caters': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'RestaurantsReservations': 'True'}",Chinese,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '12:0-21:0'}",1,1,11110,11110,11110,11110,11110,11110,11100,0.870687792,0.870687792,great wok,0.953260133880396
6,9063,Yi's Chinese Restaurant,"1512 W Bell Rd, Ste 7",Phoenix,AZ,85023,33.640995700000005,-112.0922881,4.5,71,1,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'True', 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Alcohol': ""'none'"", 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True'}",Chinese,"{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '12:0-21:0'}",1,0,11111,11000,11110,11110,11110,11110,11100,0.8483359340000001,0.8483359340000001,yis chinese restaurant,0.9588545620994369
7,1834,New Silver Dragon,1739 W Glendale Ave,Phoenix,AZ,85021,33.53818813,-112.096928,3.5,28,1,"{'OutdoorSeating': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1'}",Chinese,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,1,11110,11110,11110,11110,11110,11110,11110,0.768137306,0.768137306,new silver dragon,0.9637196220671801
8,178,Dragon Palace,13825 N 32nd St,Phoenix,AZ,85032,33.6124852,-112.012193,4.0,213,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'True', 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'quiet'"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'Caters': 'False'}",Chinese,"{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-21:30', 'Saturday': '14:0-21:30', 'Sunday': '16:0-21:0'}",2,0,11000,11000,11000,11000,11000,11100,11000,0.880383156,0.880383156,dragon palace,0.9521537545498203
9,3211,Mr Chao's Asia Bistro,"4232 E Chandler Blvd, Ste 4",Phoenix,AZ,85048,33.305945,-111.99117,4.0,77,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'False', 'WiFi': ""u'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'quiet'"", 'HasTV': 'False', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'RestaurantsTableService': 'True'}","Asian Fusion, Chinese","{'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-21:0', 'Saturday': '16:0-21:0', 'Sunday': '16:0-20:30'}",2,0,10000,11000,11000,11000,11000,11000,11000,0.874903889,0.874903889,mr chaos asia bistro,0.9537735361696522
10,4462,Dragon Bowl,"814 E Union Hills Dr, Ste C-14",Phoenix,AZ,85024,33.6561233,-112.0629591,4.0,193,1,"{'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsBitcoin': 'False', 'NoiseLevel': ""'quiet'"", 'RestaurantsDelivery': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""}",Chinese,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '12:0-21:30'}",1,1,11110,11110,11110,11110,11110,11110,11100,0.807130755,0.807130755,dragon bowl,0.9574041296422782
11,11006,Bamboo China Restaurant,7575 N 16th St,Phoenix,AZ,85020,33.546257000000004,-112.04685,3.5,37,1,"{'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'HasTV': 'False', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'quiet'""}",Chinese,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:30-21:30'}",1,0,11110,11110,11110,11110,11110,11110,11100,0.853730194,0.853730194,bamboo china restaurant,0.9565106618605971
12,8296,Jade The Taste of China,"9641 N Metro Park W, Ste MM1",Phoenix,AZ,85051,33.574409,-112.121729,4.5,31,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'loud'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'OutdoorSeating': 'False', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'""}","Chinese, Cantonese","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}",1,0,11111,11111,11111,11111,11111,11111,11110,0.8259275620000001,0.8259275620000001,jade the taste of china,0.9704883556041262
13,3023,Good China Restaurant,"6544 W Thomas Rd, Ste 38",Phoenix,AZ,85033,33.481251,-112.20246599999999,4.0,59,1,"{'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'BusinessParking': 'None', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""'none'"", 'NoiseLevel': ""'average'"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'""}",Chinese,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:30'}",1,0,11110,11110,11110,11110,11110,11110,11100,0.894816264,0.894816264,good china restaurant,0.9627058365863194
14,2292,Golden Wok Chinese Restaurant,4651 E Cactus Rd,Phoenix,AZ,85032,33.59741787,-111.98163559999999,3.5,77,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'NoiseLevel': ""'quiet'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}""}",Chinese,"{'Monday': '15:0-21:30', 'Tuesday': '15:0-21:30', 'Wednesday': '15:0-21:30', 'Thursday': '15:0-21:30', 'Friday': '15:0-21:30', 'Saturday': '15:0-21:30', 'Sunday': '16:0-21:0'}",2,1,11100,11100,11100,11100,11100,11100,11000,0.865281662,0.865281662,golden wok chinese restaurant,0.9663347246523541
